Вид транспорта;Класс ТС;Транспорт;Пробег,км;Пробег по ПЛ, км;delta Пробег;delta Пробег, % (Пробег/ПЛ);Время в наряде, ч;Время ДВС, ч;Время работы по ПЛ, ч;delta Работа;delta Работа, % (ДВС/Пробег ПЛ);Факт. расход, л;Расход по ПЛ, л;delta Расход;delta Расход, % (Факт/ПЛ);Заправки, л;Заправки по ПЛ, л;delta Заправки;delta Заправки, % (Факт/ПЛ);Время ДО, ч;Работа ДО по ПЛ, ч;delta ДО;delta ДО, % (Факт/ПЛ)
Спецтехника;ДЭС;ДЭС-200_166002;0,0;0,0;0,0;0,00000000000;2 499,0;1 442,93;0,00;1 442,9;0,000000000000;43 282,3;50 581,0;-7 298,7;0,1442972657717;43 354,8;34 356,0;8 998,8;-0,2619280475026;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-500_174693;0,0;0,0;0,0;0,00000000000;630,0;628,09;0,00;628,1;0,000000000000;35 731,4;40 095,0;-4 363,6;0,1088315251278;36 087,7;35 600,0;487,7;-0,0136994382022;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_156772;0,0;0,0;0,0;0,00000000000;641,0;565,74;0,00;565,7;0,000000000000;9 162,9;21 901,0;-12 738,1;0,5816218437514;9 650,2;22 160,0;-12 509,8;0,5645216606498;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_155841;0,0;0,0;0,0;0,00000000000;635,0;513,10;0,00;513,1;0,000000000000;7 729,2;9 090,6;-1 361,4;0,1497590918091;7 682,7;9 249,6;-1 566,9;0,1694019200830;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_04_ох7502_168849;0,0;0,0;0,0;0,00000000000;1 394,0;372,77;0,00;372,8;0,000000000000;1 889,5;4 298,7;-2 409,2;0,5604485076884;2 076,4;4 403,9;-2 327,5;0,5285088217262;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-30_168733;0,0;0,0;0,0;0,00000000000;4,0;289,73;0,00;289,7;0,000000000000;760,2;0,0;760,2;0,0000000000000;720,0;0,0;720,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-17_175834;0,0;0,0;0,0;0,00000000000;0,0;284,11;0,00;284,1;0,000000000000;401,3;0,0;401,3;0,0000000000000;412,9;0,0;412,9;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;АДД 154973 в Газ_27_от4045;0,0;0,0;0,0;0,00000000000;0,0;269,25;0,00;269,2;0,000000000000;9,6;0,0;9,6;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-60_ 155842;0,0;0,0;0,0;0,00000000000;221,0;169,75;0,00;169,8;0,000000000000;2 605,3;2 791,0;-185,7;0,0665352920100;2 456,9;2 805,0;-348,1;0,1240998217469;Нет ДО;0,0;-;-
Спецтехника;Бульдозер;ZOOMLION ZD160S-3(75)_ак4970_174216;0,0;0,0;0,0;0,00000000000;414,0;102,44;0,00;102,4;0,000000000000;0,7;963,2;-962,5;0,9992732935375;154,5;1 176,0;-1 021,5;0,8686224489796;Нет ДО;0,0;-;-
Спецтехника;Бульдозер;ZOOMLION 71 4966ак16;0,0;0,0;0,0;0,00000000000;0,0;81,13;0,00;81,1;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-150_168479;0,0;0,0;0,0;0,00000000000;124,0;79,19;0,00;79,2;0,000000000000;1 362,6;1 821,0;-458,4;0,2517298187809;1 665,1;1 825,0;-159,9;0,0876164383562;Нет ДО;0,0;-;-
Спецтехника;Сварочный агрегат;АДД 161274 в Урал_н442ку;0,0;0,0;0,0;0,00000000000;0,0;68,13;0,00;68,1;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Бульдозер;ZOOMLION 74 8881ае16;0,0;0,0;0,0;0,00000000000;0,0;55,60;0,00;55,6;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Машина трелевочная;МТЧ_трелев_1_ рт3284_169004;0,0;0,0;0,0;0,00000000000;160,0;39,38;0,00;39,4;0,000000000000;337,0;23,2;313,8;-13,5321259163433;401,4;92,2;309,2;-3,3549962026690;Нет ДО;0,0;-;-
Нет нормы;ДЭС;ДЭС-30_167764;0,0;0,0;0,0;0,00000000000;0,0;34,66;0,00;34,7;0,000000000000;119,2;0,0;119,2;0,0000000000000;153,4;0,0;153,4;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;Адд_4004мву1_№6218_175951;0,0;0,0;0,0;0,00000000000;0,0;17,91;0,00;17,9;0,000000000000;87,8;0,0;87,8;0,0000000000000;123,9;0,0;123,9;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_08_рт2075_168982;0,0;0,0;0,0;0,00000000000;16,0;9,48;0,00;9,5;0,000000000000;89,1;13,7;75,5;-5,5274725274725;0,0;34,6;-34,6;1,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_174963;0,0;0,0;0,0;0,00000000000;101,0;9,09;0,00;9,1;0,000000000000;465,5;412,5;53,0;-0,1284848484848;276,7;0,0;276,7;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_174962;0,0;0,0;0,0;0,00000000000;101,0;7,30;0,00;7,3;0,000000000000;281,4;412,5;-131,1;0,3178181818182;281,2;0,0;281,2;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_2_ер4031_082539;0,0;0,0;0,0;0,00000000000;21,0;6,96;0,00;7,0;0,000000000000;0,0;17,9;-17,9;1,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Бульдозер;Б10м_бульд_от4090_155809;0,0;0,0;0,0;0,00000000000;0,0;6,22;0,00;6,2;0,000000000000;31,3;0,0;31,3;0,0000000000000;323,5;0,0;323,5;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_23_ер9865_083447;0,0;0,0;0,0;0,00000000000;70,0;5,17;0,00;5,2;0,000000000000;0,0;5,3;-5,3;1,0000000000000;0,0;287,0;-287,0;1,0000000000000;Нет ДО;0,0;-;-
Автотранспорт;Автобус;Камаз_вахта_т121ем_083201;8,8;0,0;8,8;0,00000000000;0,0;4,97;0,00;5,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_31_рт3286_083731;0,0;0,0;0,0;0,00000000000;0,0;4,33;0,00;4,3;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_4_ер1644_082931;0,0;0,0;0,0;0,00000000000;70,0;3,73;0,00;3,7;0,000000000000;0,0;24,2;-24,2;1,0000000000000;0,0;444,3;-444,3;1,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_169092;0,0;0,0;0,0;0,00000000000;5,0;2,99;0,00;3,0;0,000000000000;123,3;0,0;123,3;0,0000000000000;553,9;0,0;553,9;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Бульдозер;Б10м_бульд_ер1622_164129;0,0;0,0;0,0;0,00000000000;201,0;2,94;0,00;2,9;0,000000000000;3,4;72,5;-69,1;0,9531034482759;273,6;247,0;26,6;-0,1076923076923;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_19_ох7440_168780;0,0;0,0;0,0;0,00000000000;36,0;2,84;0,00;2,8;0,000000000000;91,8;165,8;-74,0;0,4461538461538;0,0;942,4;-942,4;1,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_07_ох2271_168160;0,0;0,0;0,0;0,00000000000;0,0;1,90;0,00;1,9;0,000000000000;11,2;0,0;11,2;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_18_ер9838_167094;0,0;0,0;0,0;0,00000000000;0,0;1,79;0,00;1,8;0,000000000000;89,0;0,0;89,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_12_те4178_154164;0,0;0,0;0,0;0,00000000000;0,0;1,74;0,00;1,7;0,000000000000;2,0;0,0;2,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_12_мм0530_083893;0,0;0,0;0,0;0,00000000000;70,0;0,98;0,00;1,0;0,000000000000;0,0;324,5;-324,5;1,0000000000000;0,0;482,0;-482,0;1,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_24_тв8639_082327;0,0;0,0;0,0;0,00000000000;0,0;0,83;0,00;0,8;0,000000000000;1,2;0,0;1,2;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_167080;0,0;0,0;0,0;0,00000000000;0,0;0,62;0,00;0,6;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_1_ер9861_083448;0,0;0,0;0,0;0,00000000000;60,3;0,56;0,00;0,6;0,000000000000;0,0;30,5;-30,5;1,0000000000000;0,0;182,0;-182,0;1,0000000000000;Нет ДО;0,0;-;-
Автотранспорт;Автомобиль специальный;Камаз_фург_н694ку_166207;0,0;0,0;0,0;0,00000000000;0,0;0,26;0,00;0,3;0,000000000000;417,3;0,0;417,3;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_14_тв0930_156806;0,0;0,0;0,0;0,00000000000;0,0;0,15;0,00;0,1;0,000000000000;4,6;0,0;4,6;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-60_167079;0,0;0,0;0,0;0,00000000000;5,0;0,14;0,00;0,1;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;ТГМ-55_сбход_2714те_082021;0,0;0,0;0,0;0,00000000000;95,0;0,10;0,00;0,1;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;500,0;-500,0;1,0000000000000;Нет ДО;0,0;-;-
Автотранспорт;Бортовой;Егерь_борт_в437аа_084045;0,0;0,0;0,0;0,00000000000;120,0;0,09;0,00;0,1;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;Газ-34039_сбход_2427та_082508;0,0;0,0;0,0;0,00000000000;168,0;0,08;0,00;0,1;0,000000000000;0,7;0,0;0,7;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_03_ох2270_168158;0,0;0,0;0,0;0,00000000000;0,0;0,03;0,00;0,0;0,000000000000;0,2;0,0;0,2;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Автотранспорт;Лаборатория;Урал_лаб-ия_в952хс_161825;29,1;0,0;29,1;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;22,1;0,0;22,1;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;Адд_4004мву1_№6220_175953;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Бульдозер;Б10м_бульд_ер1620_164130;0,0;0,0;0,0;0,00000000000;103,0;0,00;0,00;0,0;0,000000000000;0,2;28,0;-27,8;0,9928571428571;0,0;210,0;-210,0;1,0000000000000;Нет ДО;0,0;-;-
